ano_campeonato,mes,dia,week_day,rodada,estadio,arbitro,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
2012,11,25,0,37,Estádio Olímpico Nilton Santos,Wilton Sampaio,Botafogo,Atlético-MG,Oswaldo de Oliveira,Cuca,6,3,14900000,21100000,26.3,27.7,2,3,2,1,6,2,11,13,11,10,2,9,2,2,23,5,8,1
2012,5,26,6,2,Estádio Jornalista Mário Filho,André Luiz de Freitas Castro,Flamengo,Internacional,Joel Santana,Dorival Júnior,7,2,25050000,14350000,27.7,27.4,3,3,2,1,5,5,12,13,13,12,2,5,9,0,10,6,2,1
2012,6,9,6,4,Estádio Jornalista Mário Filho,Rodrigo Braghetto,Flamengo,Coritiba FC,Joel Santana,Marcelo Oliveira,10,12,21800000,5150000,24.8,26.2,3,1,2,1,13,2,13,17,16,11,2,4,4,5,16,10,8,4
2012,8,11,6,16,Estádio Jornalista Mário Filho,Jean Pierre Goncalves Lima,Flamengo,Náutico,Dorival Júnior,Alexandre Gallo,9,13,17500000,4000000,25.8,25.3,2,0,2,0,6,5,11,13,13,10,4,2,2,0,18,9,10,3
2012,6,10,0,4,Estádio Eládio de Barros Carvalho,Héber Lopes,Náutico,Botafogo,Alexandre Gallo,Oswaldo de Oliveira,19,4,3800000,11650000,26.9,26,3,2,2,0,2,9,7,15,15,7,2,2,2,2,7,13,3,4
2012,7,25,3,12,Estádio Eládio de Barros Carvalho,Claudio Francisco Lima e Silva,Náutico,Coritiba FC,Alexandre Gallo,Marcelo Oliveira,11,16,3850000,3700000,27.8,26.2,3,4,2,1,6,2,16,15,14,16,1,8,5,2,15,15,6,9
2012,8,15,3,17,Estádio Eládio de Barros Carvalho,José de Caldas Souza,Náutico,São Paulo,Alexandre Gallo,Ney Franco,14,7,4000000,31000000,25.7,26,3,0,2,0,5,2,9,12,11,9,1,3,1,7,12,10,5,4
2012,9,29,6,27,Estádio Eládio de Barros Carvalho,Leandro Pedro Vuaden,Náutico,Atlético-GO,Alexandre Gallo,Arthur Neto,15,20,4050000,3400000,26.3,26.6,2,0,2,0,10,3,17,13,13,16,1,7,1,1,19,5,8,2
2012,11,4,0,34,Estádio Eládio de Barros Carvalho,Wilton Sampaio,Náutico,Internacional,Alexandre Gallo,Fernandão,13,5,3650000,33600000,25,27.8,3,0,2,0,9,7,15,10,10,15,6,1,1,1,18,18,8,7
2012,7,22,0,11,Allianz Parque,Márcio Chagas da Silva,Palmeiras,Náutico,Luiz Felipe Scolari,Alexandre Gallo,18,11,14200000,3550000,25.9,28.8,3,0,2,0,2,3,10,13,13,10,2,7,1,1,26,6,13,2
2012,9,29,6,27,Allianz Parque,Guilherme Ceretta de Lima,Palmeiras,Ponte Preta,Gilson Kleina,Guto Ferreira,18,10,16800000,4150000,27.5,26.4,3,0,2,0,3,4,9,19,19,9,4,5,0,0,14,8,7,1
2012,7,8,0,8,Estádio Urbano Caldeira,Nielson Nogueira Dias,Santos FC,Grêmio,Muricy Ramalho,Vanderlei Luxemburgo,18,7,50900000,11550000,24.8,27.2,4,2,2,0,2,1,12,18,17,11,5,2,5,3,14,18,8,9
2012,10,17,3,31,Estádio Urbano Caldeira,Héber Lopes,Santos FC,Atlético-MG,Muricy Ramalho,Cuca,9,2,63650000,19150000,26.4,28.4,2,2,2,2,8,2,13,15,15,13,0,6,3,4,19,8,7,5
2012,9,6,4,22,Estádio Jornalista Mário Filho,André Luiz de Freitas Castro,Fluminense,Santos FC,Abel Braga,Muricy Ramalho,1,13,26600000,14200000,26.1,25.5,3,1,2,1,5,2,13,17,16,10,3,6,3,2,11,13,1,4
2012,9,22,6,26,Estádio Jornalista Mário Filho,Pablo dos Santos Alves,Fluminense,Náutico,Abel Braga,Alexandre Gallo,1,14,27250000,3200000,27.7,25.9,2,1,2,0,6,2,13,9,9,13,0,4,0,1,19,2,7,0
2012,7,8,0,8,Estádio Cícero Pompeu de Toledo,Franscisco Carlos do Nascimento,São Paulo,Coritiba FC,Ney Franco,Marcelo Oliveira,9,13,39750000,3850000,24.3,26.5,3,1,2,0,2,8,9,15,13,9,8,2,1,4,10,23,4,5
2012,7,29,0,13,Estádio Cícero Pompeu de Toledo,Jailson Macedo Freitas,São Paulo,Flamengo,Ney Franco,Dorival Júnior,7,10,33000000,20650000,26,25.5,4,1,2,0,9,3,20,11,11,19,0,5,3,1,12,9,4,6
